device /dev/input/event10, name "ELAN Touchscreen", phys "usb-0000:00:14.0-4.4/input0"
(InputEvent(1480382770L, 359837L, 3, 57, 1486L), '---', 1486L)
(InputEvent(1480382770L, 359837L, 3, 53, 1732L), '---', 1732L)
(InputEvent(1480382770L, 359837L, 3, 54, 567L), '---', 567L)
(InputEvent(1480382770L, 359837L, 3, 60, 1732L), '---', 1732L)
(InputEvent(1480382770L, 359837L, 3, 61, 567L), '---', 567L)
(InputEvent(1480382770L, 359837L, 3, 52, 1L), '---', 1L)
(InputEvent(1480382770L, 359837L, 3, 48, 2L), '---', 2L)
(InputEvent(1480382770L, 359837L, 3, 49, 2L), '---', 2L)
(InputEvent(1480382770L, 359837L, 3, 0, 1732L), '---', 1732L)
(InputEvent(1480382770L, 359837L, 3, 1, 567L), '---', 567L)
(InputEvent(1480382770L, 368998L, 3, 48, 3L), '---', 3L)
(InputEvent(1480382770L, 384804L, 3, 48, 4L), '---', 4L)
(InputEvent(1480382770L, 425015L, 3, 54, 568L), '---', 568L)
(InputEvent(1480382770L, 425015L, 3, 61, 568L), '---', 568L)
(InputEvent(1480382770L, 425015L, 3, 1, 568L), '---', 568L)
(InputEvent(1480382770L, 433056L, 3, 54, 569L), '---', 569L)
(InputEvent(1480382770L, 433056L, 3, 61, 569L), '---', 569L)
(InputEvent(1480382770L, 433056L, 3, 1, 569L), '---', 569L)
(InputEvent(1480382770L, 440832L, 3, 54, 570L), '---', 570L)
(InputEvent(1480382770L, 440832L, 3, 61, 570L), '---', 570L)
(InputEvent(1480382770L, 440832L, 3, 48, 3L), '---', 3L)
(InputEvent(1480382770L, 440832L, 3, 1, 570L), '---', 570L)
(InputEvent(1480382770L, 449023L, 3, 48, 2L), '---', 2L)
(InputEvent(1480382770L, 449023L, 3, 49, 1L), '---', 1L)
(InputEvent(1480382770L, 457002L, 3, 57, -1L), '---', -1L)
(InputEvent(1480382771L, 9047L, 3, 57, 1487L), '---', 1487L)
(InputEvent(1480382771L, 9047L, 3, 53, 1705L), '---', 1705L)
(InputEvent(1480382771L, 9047L, 3, 54, 882L), '---', 882L)
(InputEvent(1480382771L, 9047L, 3, 60, 1705L), '---', 1705L)
(InputEvent(1480382771L, 9047L, 3, 61, 882L), '---', 882L)
(InputEvent(1480382771L, 9047L, 3, 49, 2L), '---', 2L)
(InputEvent(1480382771L, 9047L, 3, 0, 1705L), '---', 1705L)
